building_collapse,crash,earthquake,explosion,flood,haze,meteor,shoot,typhoon,wildfire
"('bangladesh', 106.8655185115081)","('train', 215.91683464327747)","('earthquake', 251.83384098060182)","('boston', 104.9519585610748)","('flood', 251.85354899889808)","('sghaze', 95.22525932244342)","('meteor', 101.8892897858403)","('lax', 77.53253422036308)","('typhoon', 120.27132416737926)","('fire', 174.61983915644115)"
"('collapse', 94.74537872586866)","('crash', 196.55102488367675)","('terremoto', 178.7849384768916)","('amuay', 104.69421653613675)","('sardegna', 135.25752426526944)","('psi', 81.87545854078952)","('russianmeteor', 97.32879468468802)","('shoot', 71.04407211184511)","('philippines', 98.76721616951669)","('colorado', 145.18053647495302)"
"('build', 76.17944702565565)","('helicopter', 156.88689994306685)","('guatemala', 151.13522177917994)","('texas', 104.43212924280871)","('bigwet', 125.65369198681806)","('singapore', 58.72785460732068)","('russia', 84.5601545909268)","('airport', 55.76981318546905)","('haiyan', 81.93383727949437)","('brazil', 90.28713252306034)"
"('toll', 63.58907347962264)","('derailment', 146.9114048159269)","('costa', 144.6573676724081)","('explosion', 103.0325167999922)","('rescueph', 123.71086891602171)","('haze', 57.346688431569405)","('russian', 49.611604496598986)","('suspect', 45.37166410135671)","('pabloph', 71.94196842958455)","('nightclub', 87.94000423009817)"
"('factory', 56.506970724929204)","('glasgow', 126.00108986497585)","('rica', 139.665740524609)","('prayforboston', 97.06271692642578)","('colorado', 115.26599848645905)","('update', 55.23501912749426)","('injure', 45.427812834158274)","('tsa', 39.90922923207335)","('pablo', 59.60982247058845)","('nswfires', 82.09243497642767)"
"('death', 53.92960427553645)","('new', 100.9118240275576)","('philippines', 112.56378640840657)","('west', 69.64814945866642)","('help', 98.0145889237529)","('hour', 28.417992064536232)","('hit', 34.82719861248484)","('los', 36.47273843071622)","('bopha', 56.6510539267416)","('spring', 69.61190967573029)"
"('kill', 30.6774772319239)","('tren', 100.70022633685694)","('sismo', 103.06253886201632)","('marathon', 64.75132653979931)","('yycflood', 94.87514969340222)","('read', 27.172825149015505)","('chelyabinsk', 30.00847492042482)","('angeles', 35.60251746076927)","('help', 47.991211778781626)","('santamaria', 60.54431944759797)"
"('savar', 27.305491739455732)","('york', 95.66338694936172)","('magnitude', 92.43495943252518)","('bomb', 63.955647285803686)","('reliefph', 87.78213870600163)","('hit', 18.853889178164376)","('shower', 27.903197654678674)","('kill', 27.712815399198778)","('yolandaph', 40.67172436259811)","('pray', 59.1885611172607)"
"('garment', 27.152506634546473)","('nyc', 90.21835339317222)","('quake', 91.9515263577111)","('plant', 60.136942568687026)","('maringph', 80.87883088051815)","('indonesia', 16.988788466306676)","('people', 25.52415997847102)","('report', 25.621896964824224)","('victims', 40.10171832632404)","('affect', 56.679862077816196)"
"('pass', 22.449676188172294)","('dead', 87.94283060085431)","('prayforvisayas', 90.2623462643731)","('refiner', 58.88129617350527)","('please', 76.05930768500333)","('range', 15.66505167342184)","('video', 24.505483954410508)","('shooter', 25.418109067216246)","('donate', 37.80345289455938)","('everyone', 53.62989141167715)"
"('dead', 21.370623485321804)","('spain', 86.74806132445403)","('tsunami', 78.87120945409751)","('prayfortexas', 57.02324700824153)","('need', 75.31304905612319)","('like', 14.76059519432158)","('blast', 23.835991007298766)","('laxshooting', 25.092608321121766)","('pray', 32.587861648655306)","('wildfire', 51.87286158174753)"
"('dhaka', 20.83982949280891)","('metronorth', 81.5726937358623)","('hit', 75.87775727364355)","('fertilizer', 54.02071649930228)","('manila', 69.94782559642485)","('issue', 13.99687509407085)","('meteorite', 20.935515511673383)","('victims', 24.222376231918208)","('super', 32.27856453138232)","('kiss', 50.46378769724211)"
"('find', 19.921907718927965)","('kill', 79.55977685554473)","('por', 68.07001080571136)","('prayers', 42.74548143456514)","('abflood', 66.90714838959266)","('record', 13.745560822011495)","('explode', 19.2459634572708)","('agent', 21.609183630122626)","('relief', 29.7076045219348)","('boate', 48.9799068711252)"
"('people', 19.80840297248003)","('clutha', 78.06549598626638)","('costarica', 62.17194125323488)","('waco', 42.67681314671927)","('coflood', 63.91509892612722)","('unhealthy', 13.27383763627102)","('strike', 18.074549255379914)","('terminal', 21.57247212333825)","('need', 29.416686319893994)","('sad', 48.77806998533827)"
"('say', 18.929854796464607)","('injure', 73.82395909857644)","('del', 55.635762251969474)","('people', 42.674133953921256)","('via', 62.64641749267797)","('break', 12.74210131577258)","('explosion', 17.86578869891699)","('say', 21.13624336779448)","('via', 29.201628681309128)","('hear', 48.57194417594802)"
"('rana', 18.003816466947118)","('pub', 72.3425629734218)","('bohol', 53.349760935703884)","('que', 39.015421466799864)","('calgary', 58.76168316602499)","('lol', 12.578498847493858)","('via', 17.47924580660513)","('people', 19.966012489465452)","('people', 27.642946519792666)","('australia', 48.14725009618085)"
"('plaza', 17.1442734043192)","('santiago', 71.76515192276734)","('que', 52.79455354776981)","('venezuela', 36.55734411735641)","('people', 56.25100840730068)","('highest', 11.770825017299332)","('hundreds', 17.392128360058244)","('police', 19.358592639377342)","('hit', 27.13766389870316)","('redoctober', 47.99849010906156)"
"('top', 16.19531828100069)","('people', 69.77234430823944)","('magnitud', 49.075251929719286)","('explosi', 35.93197034265895)","('water', 53.738558448397136)","('mask', 11.450188101607786)","('chelly', 16.23979190448909)","('break', 18.642703026482085)","('affect', 25.928925589849804)","('tragedy', 47.34724277193647)"
"('break', 16.16761713246063)","('police', 69.65420440243923)","('prayforbohol', 47.74316139470039)","('los', 35.754752117919466)","('qldfloods', 52.58248166282565)","('get', 11.168374314957061)","('fall', 15.897653305962656)","('gunman', 18.041896995828676)","('please', 24.005551590396113)","('nsw', 43.582550572972295)"
"('bangla', 15.277169502039204)","('compostela', 68.21350812218009)","('strike', 47.55087647290011)","('bostonmarathon', 33.73224621459383)","('rain', 52.44499140097415)","('seriously', 10.802730935128652)","('earth', 15.83071991109882)","('custody', 17.919397491002197)","('yolanda', 23.734440845600695)","('que', 43.48849689019528)"
"('workers', 14.858039898330988)","('gantic', 68.1445825430534)","('alerta', 46.28387091371394)","('por', 32.363207254469124)","('per', 51.999799688912745)","('make', 10.710743363338679)","('asteroid', 15.373977009636539)","('prayers', 17.869090780321304)","('dead', 22.101899032045747)","('highparkfire', 40.72261743914789)"
"('rise', 14.366993257773803)","('espa', 67.04079581677776)","('coast', 44.86652112048117)","('suspect', 30.870080473460543)","('boulderflood', 46.897281993590724)","('hazardous', 10.613152781993868)","('footage', 14.71710959801986)","('international', 16.683681803392727)","('safe', 18.39727019220847)","('home', 39.355951595301605)"
"('banglanews', 14.32682671281488)","('derail', 66.92067249822776)","('kill', 43.725720214530554)","('pray', 30.527553661177524)","('australia', 46.58575012766215)","('minister', 10.570082126207376)","('sky', 13.626844760694917)","('update', 15.983236210900204)","('appeal', 18.06291600211113)","('people', 38.657810685546636)"
"('clothe', 14.22976787974004)","('lacmegantic', 63.81565327431423)","('italy', 43.5341527056118)","('video', 28.722128146368732)","('yyc', 46.01031354358053)","('still', 9.751324934541543)","('crash', 11.802593365562082)","('injure', 15.684244412951635)","('shelter', 17.89662351305643)","('wildfires', 38.50311833365678)"
"('least', 14.224339330414104)","('accidente', 63.03195440711807)","('muertos', 43.49307401839565)","('explosions', 28.352760010410538)","('safe', 45.6158252704668)","('couple', 8.917776719102147)","('wow', 11.797615360668093)","('news', 15.226792889979526)","('http', 17.76181221898448)","('sydney', 34.30661735212638)"
"('via', 14.093208571315808)","('lacm', 62.167648056739104)","('tras', 42.949224228440585)","('victims', 28.0122914589604)","('allertameteosar', 45.28459197135526)","('complain', 8.902945340291598)","('say', 11.708981081443662)","('via', 14.11540771992313)","('toll', 17.404437793124327)","('burn', 30.364439532452806)"
"('police', 13.966796067725639)","('del', 60.382959144856294)","('cebu', 41.671855150988925)","('kill', 27.677198695112565)","('rescue', 45.152668130187585)","('malaysia', 8.860352851327873)","('get', 11.143523612037415)","('officer', 14.085238462855633)","('mindanao', 17.227835846641103)","('kill', 30.11374672916129)"
"('news', 13.861152497470394)","('say', 58.528456570642525)","('usgs', 41.34965425302098)","('thoughts', 27.241580724527857)","('affect', 44.56020539377304)","('yolo', 8.607516736359898)","('make', 10.794529197354407)","('today', 13.352737114151884)","('water', 17.14203448922976)","('bush', 26.943185859575905)"
"('rescuers', 13.41515465407478)","('news', 57.66817037928818)","('pray', 40.92906512685902)","('injure', 26.21075274148248)","('floodph', 44.2257253548303)","('vivian', 8.590865156609032)","('like', 10.658296592072398)","('rifle', 13.048361103635655)","('death', 17.011605660372823)","('santa', 25.72901388069004)"
"('days', 13.215209635784435)","('quebec', 52.38815373166412)","('grados', 40.755002328021504)","('blast', 25.821296045395872)","('alluvione', 43.17969762965739)","('new', 8.496697195719811)","('see', 10.617650484841922)","('family', 13.041447592777846)","('storm', 16.231230393793506)","('least', 25.53313523363374)"
"('fire', 13.048090477562695)","('least', 51.80031672334411)","('central', 39.60657011155204)","('westtx', 25.54583904440762)","('qld', 42.98456737538519)","('school', 8.31886759744691)","('come', 10.443374972920251)","('fire', 12.979525685241791)","('efforts', 16.053138369247645)","('via', 25.29532471136811)"
"('arrest', 12.905968456168885)","('via', 41.20748869804474)","('per', 38.716179830268324)","('via', 25.484594041155777)","('relief', 42.45401920760319)","('right', 8.308808518105803)","('news', 9.998690819568873)","('one', 12.46590280281617)","('make', 15.422017831002318)","('help', 25.257898980585495)"
"('owner', 12.522823659243464)","('thoughts', 41.17740985627117)","('para', 38.004065904902326)","('las', 25.21168815464388)","('alberta', 41.97406454945512)","('take', 8.08121887003088)","('least', 9.749206652605071)","('ciancia', 12.148409184666273)","('update', 15.242927683144076)","('please', 24.65559274599641)"
"('die', 12.49248163017876)","('break', 40.94253349898626)","('prayforcebu', 36.16940711503849)","('report', 25.146376662393653)","('pls', 40.56042993523246)","('back', 8.08116548674833)","('love', 9.498031345479873)","('paul', 11.968078573634983)","('millions', 15.152476928201382)","('maria', 24.17593572189048)"
"('survivors', 12.215583970217804)","('die', 38.95312610023928)","('sacude', 35.404063931169475)","('news', 23.6776637367665)","('queensland', 40.395141129858395)","('today', 8.011463338266054)","('report', 9.45426715729958)","('wound', 11.204602637826552)","('news', 15.125225534361311)","('news', 23.877222228216667)"
"('rescue', 12.213854556738973)","('video', 38.8478220126915)","('depth', 35.086252886384244)","('refinery', 22.14474686546425)","('victims', 39.70760626160466)","('look', 7.954846007312177)","('cause', 9.36196948399262)","('source', 10.62397182515916)","('let', 14.47420224911925)","('prayers', 23.469337785908845)"
"('shahbag', 12.162497086194312)","('bronx', 38.83276405475084)","('temblor', 34.68750676998748)","('dead', 22.102761744775485)","('news', 39.687271972331786)","('since', 7.9066330727322285)","('nasa', 9.191995873766894)","('latest', 10.55987373404817)","('pagasa', 14.304203666039065)","('say', 23.33628862380138)"
"('make', 12.122268365429488)","('city', 38.790285141272484)","('con', 34.12320548540726)","('para', 21.940659038297238)","('prayforthephilippines', 39.654218094818404)","('time', 7.901397709494837)","('crazy', 9.139847704430354)","('live', 10.221251655688313)","('strongest', 13.93788814946703)","('live', 23.021254571661068)"
"('rubble', 11.754169698408072)","('que', 37.91450300578486)","('fuerte', 33.4697106537678)","('tsarnaev', 21.75634042965011)","('update', 37.70018896183827)","('level', 7.889525976129349)","('urals', 8.976594488613442)","('multiple', 9.800273775138603)","('dec', 13.812719643932661)","('firefighters', 22.98510900866503)"
"('search', 10.907795042547958)","('four', 37.18959978365723)","('least', 31.789706982881512)","('everyone', 21.7323925118313)","('stay', 36.875551297710004)","('say', 7.8482079559396665)","('today', 8.965700921492973)","('security', 9.653375732170884)","('prayers', 13.76387168400558)","('nswrfs', 22.856084581972187)"
"('hit', 10.442766486667669)","('driver', 36.84836734754629)","('las', 31.409984607690316)","('happen', 21.715546484639546)","('get', 36.4021569209227)","('rise', 7.714631639726591)","('russias', 8.951386077488726)","('incident', 9.648544345689373)","('clean', 13.746120736673095)","('thoughts', 22.71545362416279)"
"('body', 9.894208971248942)","('oil', 36.67382483636238)","('ago', 31.07085461301466)","('break', 21.27925574918637)","('donate', 36.26795998274607)","('workers', 7.6468182051041245)","('break', 8.928938098821524)","('flight', 9.584883248517471)","('aid', 13.599216843833416)","('update', 22.436034098161652)"
"('climb', 9.858393481740771)","('victims', 34.86792021224111)","('dead', 30.98894287804966)","('world', 20.715066476255977)","('home', 35.93842545022041)","('see', 7.583677470201156)","('watch', 8.432651934649659)","('thoughts', 8.973549804846687)","('miss', 13.347277324228957)","('new', 22.310006929210907)"
"('victims', 9.811009008962795)","('mph', 32.8549313764097)","('people', 30.874987177827826)","('families', 20.448087390428444)","('thank', 35.53458064435419)","('work', 7.5317463148363775)","('think', 8.122242613322515)","('confirm', 8.738636678852506)","('ang', 13.169817044896488)","('state', 20.766634233229528)"
"('may', 9.380780822267562)","('report', 31.8591150848893)","('report', 30.450705542550416)","('affect', 20.275561188258575)","('sardinia', 33.48853603195228)","('rain', 7.480747801812329)","('ministry', 8.101502100865432)","('shots', 8.655136312514701)","('kill', 12.855427806894332)","('bushfires', 20.608186172431164)"
