building_collapse,crash,earthquake,explosion,flood,haze,meteor,shoot,typhoon,wildfire
bangladesh,train,earthquake,boston,flood,sghaze,meteor,lax,typhoon,fire
collapse,crash,terremoto,amuay,sardegna,psi,russia,shoot,philippines,colorado
build,helicopter,guatemala,texas,bigwet,singapore,russian,airport,haiyan,brazil
toll,derailment,costa,explosion,rescueph,haze,injure,suspect,pablo,nightclub
factory,glasgow,rica,prayforboston,colorado,update,hit,tsa,bopha,spring
death,new,philippines,west,help,hour,chelyabinsk,los,help,santamaria
kill,tren,sismo,marathon,please,read,shower,angeles,yolandaph,pray
savar,york,magnitude,bomb,need,hit,people,kill,victims,affect
garment,nyc,quake,plant,manila,indonesia,video,report,donate,everyone
pass,dead,tsunami,refiner,via,range,blast,shooter,pray,wildfire
