building_collapse,crash,earthquake,explosion,flood,haze,meteor,shoot,typhoon,wildfire
bangladesh,train,earthquake,boston,flood,sghaze,meteor,lax,typhoon,fire
collapse,crash,terremoto,amuay,sardegna,psi,russia,shoot,philippines,colorado
build,helicopter,guatemala,texas,bigwet,singapore,russian,airport,haiyan,brazil
toll,derailment,costa,explosion,rescueph,haze,injure,suspect,pablo,nightclub
factory,glasgow,rica,prayforboston,colorado,update,hit,tsa,bopha,spring
death,new,philippines,west,help,hour,chelyabinsk,los,help,santamaria
kill,tren,sismo,marathon,please,read,shower,angeles,yolandaph,pray
savar,york,magnitude,bomb,need,hit,people,kill,victims,affect
garment,nyc,quake,plant,manila,indonesia,video,report,donate,everyone
pass,dead,tsunami,refiner,via,range,blast,shooter,pray,wildfire
dead,spain,hit,prayfortexas,calgary,like,meteorite,victims,super,kiss
dhaka,kill,por,fertilizer,people,issue,explode,agent,relief,boate
find,clutha,costarica,prayers,water,record,strike,terminal,need,sad
people,injure,del,waco,rain,unhealthy,explosion,say,via,hear
say,pub,bohol,people,per,break,via,people,people,australia
rana,santiago,que,que,australia,lol,hundreds,police,hit,tragedy
plaza,people,magnitud,venezuela,yyc,highest,chelly,break,affect,nsw
top,police,strike,explosi,safe,mask,fall,gunman,please,que
break,compostela,alerta,los,rescue,get,earth,custody,yolanda,home
bangla,espa,coast,bostonmarathon,affect,seriously,asteroid,prayers,dead,people
pakistan,back,scossa,chicago,storm,nltraffic,ukraine,lacrosse,manila,burn
create,accident,honduras,oklahoma,regione,gsignz,ukrainian,catch,tacloban,near
war,plane,colombia,refiner a,campania,sigma,vladivostok,incheon,juan,connecticut
store,helicopters,diego,refineria,ohcanada,theta,krasnodar,heathrow,carlos,texas
maker,derail,villa,florida,reddeer,thailand,bath,bomb,miguel,portugal
murder,metronorth,rico,ohio,peopleiwouldsexuallydestroy,malaysia,bathroom,batho,jelawat,spain
let,birmingham,deliciosa,explosions,connecticut,fog,videos,tse,notajoke,marquee
peshawar,dublin,typhoon,newtown,texas,breeze,youtube,esos,itsmorefuninthephilippines,tryst
dockyard,vuelo,manila,east,pls,hours,bomb,estos,survivors,summer
bangladeshi,bondi,temblor,south,get,minutes,quake,york,families,winter
textile,chicago,tornado,shoot,take,write,ovaries,chicago,donation,saenz
take,angeles,topan,blast,cebu,book,attack,let,prayers,montesano
put,toronto,porque,farm,philippines,indonesian,explosions,survivors,mega,prayers
walk,death,como,patrician,url,remaja,url,families,top,everybody
tell,walk,puravida,oracles,blog,large,blog,agents,aid,wildfires
know,germany,puertorico,dreadingit,edmonton,price,thousands,owner,get,hug
samaha,italy,iloilo,fertiliser,winnipeg,know,several,metro,take,inc ndio
colita,let,palawan,pray,salt,release,tiffani,plaza,url,trag dia
hotel,haymarket,tal,mcallen,drink,recor,tiffy,tell,blog,bad
parque,consett,preliminar,pasadena,snow,appetite,world,know,pls,feel
best,pubs,attack,tal,wind,foods,planet,cop,death,tell
big,restaurant,informa,porque,anche,time,apophis,arrest,walk,canada
time,rosario,denuncia,vzla,fare,lmao,flyby,time,,tragic
indon,cruz,south,colombia,canada,lmfao,,gunmen,,victims
melayu,cop,east,queb,,lowest,,pray,,qld
