building_collapse,crash,earthquake,explosion,flood,haze,meteor,shoot,typhoon,wildfire
bangladesh,train,earthquake,boston,flood,sghaze,meteor,lax,typhoon,fire
collapse,crash,terremoto,amuay,sardegna,psi,russia,shoot,philippines,colorado
build,helicopter,guatemala,texas,bigwet,singapore,russian,airport,haiyan,brazil
toll,derailment,costa,explosion,rescueph,haze,injure,suspect,pablo,nightclub
factory,glasgow,rica,prayforboston,colorado,update,hit,tsa,bopha,spring
death,new,philippines,west,help,hour,chelyabinsk,los,help,santamaria
kill,tren,sismo,marathon,please,read,shower,angeles,yolandaph,pray
savar,york,magnitude,bomb,need,hit,people,kill,victims,affect
garment,nyc,quake,plant,manila,indonesia,video,report,donate,everyone
pass,dead,tsunami,refiner,via,range,blast,shooter,pray,wildfire
dead,spain,hit,prayfortexas,calgary,like,meteorite,victims,super,kiss
dhaka,kill,por,fertilizer,people,issue,explode,agent,relief,boate
find,clutha,costarica,prayers,water,record,strike,terminal,need,sad
people,injure,del,waco,rain,unhealthy,explosion,say,via,hear
say,pub,bohol,people,per,break,via,people,people,australia
rana,santiago,que,que,australia,lol,hundreds,police,hit,tragedy
plaza,people,magnitud,venezuela,yyc,highest,chelly,break,affect,nsw
top,police,strike,explosi,safe,mask,fall,gunman,please,que
break,compostela,alerta,los,rescue,get,earth,custody,yolanda,home
bangla,espa,coast,bostonmarathon,affect,seriously,asteroid,prayers,dead,people
dhaka,trains,quake,chicago,flooding,nltraffic,meteorite,lacrosse,haiyan,burning
collapsed,accident,scossa,refinería,regione,sigma,ukraine,shot,typhoon,connecticut
create,plane,honduras,florida,ohcanada,thailand,ukrainian,incheon,typhoon,portugal
war,derails,diego,explosions,العراب,fog,injures,suspects,juan,marquee
store,birmingham,rico,bostonmarathon,connecticut,updates,hitting,batho,haiyan,summer
murder,the,typhoon,east,need,hours,vladivostok,esos,need,saenz
killing,vuelo,magnitud,shooting,pls,write,bath,york,notajoke,praying
peshawar,chicago,quake,bombs,get,hitting,other,killing,survivors,affects
bangladeshi,chicago,earthquake,plants,cebu,indonesian,videos,reports,donating,everybody
take,death,tornado,patrician,<url>,large,bomb,shooting,praying,wildfires
death,germany,hitting,prayforboston,edmonton,that,meteor,survivors,mega,hug
bangladesh,killing,porque,fertiliser,other,issues,ovaries,agents,aid,incêndio
where,haymarket,puravida,praying,salt,recor,strikes,metro,get,bad
other,injures,el,mcallen,snow,appetite,explosions,tell,<url>,heard
tell,pubs,iloilo,other,anche,time,<url>,other,other,uk
samaha,rosario,tal,tal,uk,lmao,thousands,cops,hitting,tragic
hotel,other,sismo,vzla,yeg,lowest,tiffani,time,affects,qld
best,cops,strikes,queb,stay,masks,falling,gunmen,pls,tal
time,ferrol,informa,esos,shelter,out,world,suspect,typhoon,house
indon,ntilde,south,prayforboston,affects,actually,apophis,praying,death,other
